Начинаем мониторинг использования CPU и RAM...
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 4326104 219692 6868500    0    0    70   106 2094    4  3  1 96  0  0  0
 1  0      0 4237356 219708 6883392    0    0     0   216 4169 7657  5  2 93  0  0  0
 0  0      0 4233012 219708 6876052    0    0     0   360 1433 3647  2  1 98  0  0  0
 0  0      0 4206716 219716 6868212    0    0     0   348 3021 7089  3  1 95  0  0  0
 0  0      0 4192620 219744 6886140    0    0     0   212 2459 6400  3  1 96  0  0  0
 0  0      0 4212880 219768 6876408    0    0     0  3806 2744 6527  3  1 96  0  0  0
 0  0      0 4217656 219768 6874440    0    0     0   132 1266 2943  2  1 98  0  0  0
 0  0      0 4218868 219768 6879000    0    0     0     0 1566 2903  2  1 97  0  0  0
 0  0      0 4223820 219776 6878924    0    0     0   210 1191 2135  2  0 98  0  0  0
 0  0      0 4221608 219776 6878912    0    0     0     2 1448 2442  2  0 98  0  0  0
 2  0      0 4222432 219784 6879516    0    0     0    86 1662 1956  2  0 97  0  0  0
 0  0      0 4224192 219784 6879540    0    0     0   138 1518 1989  2  0 97  0  0  0
 1  0      0 4224960 219788 6879044    0    0     0     2 1625 1998  3  1 97  0  0  0
 0  0      0 4227376 219796 6879112    0    0     0   178 1248 1664  2  0 98  0  0  0
 0  0      0 4218892 219796 6887388    0    0     0   122 1331 1846  2  0 97  0  0  0
 0  0      0 4218740 219804 6887388    0    0     0   134 1518 1776  2  1 97  0  0  0
 1  0      0 4201980 219804 6887220    0    0     0    68 1688 2091  2  1 97  0  0  0
 0  0      0 4210424 219804 6887356    0    0     0   212 2383 2056  3  0 96  0  0  0
 0  0      0 4226640 219812 6887428    0    0     0    56 1385 1710  2  1 97  0  0  0
 0  0      0 4224024 219816 6887508    0    0     0   116 1671 2182  3  1 97  0  0  0
 0  0      0 4191652 219860 6888084    0    0     0  5234 1937 2364  4  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 4197260 219860 6887504    0    0     0    92 1513 1998  2  1 97  0  0  0
 2  0      0 4202412 219860 6887520    0    0     0   158 1841 2243  3  0 97  0  0  0
 0  0      0 4219848 219868 6888100    0    0     0    74 1159 1552  2  0 98  0  0  0
 0  0      0 4219092 219868 6887460    0    0     0     2 1450 1834  2  0 98  0  0  0
 0  0      0 4218092 219868 6888104    0    0     0   124 1889 2267  3  1 97  0  0  0
 0  0      0 4217200 219876 6887596    0    0     0   326 1900 2644  2  1 97  0  0  0
 0  0      0 4217920 219880 6887612    0    0     0     2 1373 1815  2  0 97  0  0  0
 0  0      0 4218728 219888 6887608    0    0     0   224 1349 1611  2  1 97  0  0  0
 0  0      0 4212852 219888 6888004    0    0     0     0 1549 2129  2  0 97  0  0  0
 1  0      0 4212760 219888 6888148    0    0     0  1422 1459 1843  2  1 97  0  0  0
 0  0      0 4214072 219896 6887952    0    0     0   110 1312 1711  2  0 97  0  0  0
 0  0      0 4213356 219896 6888096    0    0     0     0 1428 2006  2  1 97  0  0  0
 0  0      0 4213104 219896 6888100    0    0     0   124 1269 1565  2  0 98  0  0  0
 0  0      0 4212600 219908 6888308    0    0     0   138 1605 2055  2  1 97  0  0  0
 0  0      0 4224092 219908 6881184    0    0     0     0 2848 5285  4  1 95  0  0  0
 1  0      0 4235540 219916 6872932    0    0     0   356 3516 7954  5  2 93  0  0  0
 0  0      0 4119504 219924 6937096    0    0     0   144 7487 24957  9  2 88  0  0  0
 4  1      0 4088984 220044 6921988    0    0   724  2060 4479 9223  5  2 93  0  0  0
 1  0      0 4089164 220060 6920980    0    0     0   292 4907 12025  7  2 91  0  0  0
